"district","district_id","livestock_owned","shoats_albendazole","cattle_ivermectin","camels_ivermectin","livestock_reached","households"
"Dhuusamarreeb","R1720100",658892,621240,6906,30925,659071,11337
"Belet Weyne","R1720079",533346,305579,5280,19531,330390,7952
"Balcad","R1720076",200678,146640,35964,6363,188967,4343
"Hobyo","R1720111",174324,161534,1698,8279,171511,3187
"Jalalaqsi","R1720113",91254,89712,1969,2246,93927,2143
"Bulo Burto","R1720085",231713,206357,3056,5222,214635,5382
"Cadale","R1720092",151525,103871,2505,8948,115324,2267
"Xarardheere","R1720139",161769,151750,1580,6818,160148,3294
"Jowhar","R1720117",148010,51606,63906,11365,126877,4443
"Ceerigaabo","R1720099",423433,227705,21781,38421,287907,1298
"Buuhoodle","R1720088",153427,49714,3098,6995,59807,261
"Berbera","R1720081",607014,246801,44603,40899,332303,1548
"Gebiley","R1720105",353149,147847,45142,17696,210685,1221
"Burco","R1720086",541823,202062,10385,48420,260867,1300
"Laas Caanood","R1720120",686154,385105,11073,86487,482665,1656
"Baki","R1720075",203738,94209,17880,14038,126127,391
"Hargeysa","R1720110",203813,102282,8389,18606,129277,610
"Borama","R1720082",267684,87903,24533,10063,122499,603
"Laasqoray","R1720121",436849,214724,3392,65675,283791,1007
"Caynabo","R1720094",100918,49171,1224,13255,63650,259
"Zeylac","R1720142",89692,40825,404,3957,45186,175
"Lughaye","R1720122",62543,24831,5891,991,31713,122
"Xudun","R1720140",200173,114467,2524,28373,145364,494
"Ceel Afweyn","R1720095",64831,36307,1053,5806,43166,261
"Galdogob","R1720106",96574,54659,70,24336,79065,284
"Jariiban","R1720115",173925,123231,799,9402,133432,403
"Taleex","R1720135",84311,47892,829,8033,56754,202
"Burtinle","R1720087",135624,89807,0,13761,103568,428
"Garoowe","R1720109",72639,34224,0,15864,50088,181
"Bandarbeyla","R1720077",318320,203884,0,17587,221471,812
"Eyl","R1720104",151718,92196,0,12709,104905,425
"Gaalkacyo","R1720107",95301,74022,830,7397,82249,268
"Iskushuban","R1720112",403656,260303,737,12947,273987,945
"Caluula","R1720093",160022,106674,0,1865,108539,452
"Qansax Dheere","R1720128",331719,224823,49643,43932,318398,1144
"Badhaadhe","R1720073",156864,103279,22086,21981,147346,535
"Ceel Barde","R1720096",356558,237528,49732,51128,338388,1516
"Afmadow","R1720071",156443,102779,21825,22126,146730,527
"Baidoa","R1720074",251967,168329,37881,33228,239438,1039
"Xudur","R1720141",257025,166902,36806,36620,240328,1046
"Afgooye","R1720070",158694,104224,22330,22319,148873,535
"Buur Hakaba","R1720089",276098,183968,44894,33851,262713,1180
"Wanla Weyn","R1720138",157442,103241,22140,22651,148032,531
