district_name,district_id,treated
Afgooye,R1720070,6069
Afmadow,R1720071,7098
Baardheere,R1720072,631
Badhaadhe,R1720073,62
Baydhaba,R1720074,8764
Baki,R1720075,1370
Balcad,R1720076,4832
Bandarbeyla,R1720077,968
Baraawe,R1720078,187
Belet Weyne,R1720079,6676
Belet Xaawo,R1720080,1900
Berbera,R1720081,2324
Borama,R1720082,4296
Bossaso,R1720083,6624
Bulo Burto,R1720085,865
Burco,R1720086,5068
Burtinle,R1720087,2705
Buuhoodle,R1720088,968
Buur Hakaba,R1720089,1389
Cabudwaaq,R1720090,0
Cadaado,R1720091,1338
Cadale,R1720092,2382
Caluula,R1720093,1174
Caynabo,R1720094,1280
Ceel Afweyn,R1720095,1509
Ceel Barde,R1720096,4253
Ceel Buur,R1720097,45
Ceel Dheer,R1720098,1797
Ceerigaabo,R1720099,2566
Dhuusamarreeb,R1720100,4496
Diinsoor,R1720101,1656
Doolow,R1720102,4059
Ceel Waaq,R1720103,64
Eyl,R1720104,2006
Gebiley,R1720105,7011
Galdogob,R1720106,2120
Gaalkacyo,R1720107,5083
Garbahaarey,R1720108,2097
Garoowe,R1720109,6219
Hargeysa,R1720110,11776
Hobyo,R1720111,2199
Iskushuban,R1720112,1676
Jalalaqsi,R1720113,82
Jariiban,R1720115,2246
Jowhar,R1720117,4407
Kismaayo,R1720118,803
Kurtunwaarey,R1720119,262
Laas Caanood,R1720120,3697
Laasqoray,R1720121,0
Lughaye,R1720122,2274
Luuq,R1720123,3564
Marka,R1720124,4073
Banadir,R1720125,604
Owdweyne,R1720126,400
Qandala,R1720127,744
Qansax Dheere,R1720128,327
Qardho,R1720129,3087
Qoryooley,R1720130,717
Rab Dhuure,R1720131,1446
Saakow,R1720132,0
Sablaale,R1720133,6
Sheikh,R1720134,852
Taleex,R1720135,39
Waajid,R1720137,1329
Wanla Weyn,R1720138,2790
Xarardheere,R1720139,3685
Xudun,R1720140,242
Xudur,R1720141,2653
Zeylac,R1720142,1140
Boondheere,R1720143,1409
Cabdlcasiis,R1720144,1159
Daynile,R1720145,3176
Dharkenley,R1720146,1178
Hawl Wadaag,R1720147,53
Heliwa,R1720148,1367
Hodan,R1720149,2161
Karaan,R1720150,1386
Shangaani,R1720151,443
Shibis,R1720152,1373
Waaberi,R1720153,390
Wadajir,R1720154,1211
Wardhiigleey,R1720155,485
Xamar JaabJab,R1720156,574
Xamar Weyne,R1720157,311
Yaaqshiid,R1720158,1209
