district_id,district,total_beneficiaries
R1720070,Afgooye,126779
R1720071,Afmadow,6168
R1720074,Baidoa,298833
R1720076,Balcad,9291
R1720079,Belet Weyne,453402
R1720091,Cadaado,28233
R1720096,Ceel Barde,15651
R1720097,Ceel Buur,11196
R1720098,Guriceel,16028
R1720100,Dhuusamarreeb,31439
R1720107,Gaalkacyo,25236
R1720108,Garbahaarey,5170
R1720111,Hobyo,7862
R1720116,Jilib,594
R1720117,Jowhar,415
R1720118,Kismaayo,34237
R1720119,Kurtunwaarey,6025
R1720123,Luuq,65000
R1720124,Marka,101170
R1720125,Mogadishu,394766
R1720130,Qoryooley,27685
R1720131,Rab Dhuure,20066
R1720136,Tayeeglow,11626
R1720138,Wanla Weyn,141809
R1720139,Xarardheere,18468
R1720145,Daynile,16428
R1720146,Dharkenley,2318
R1720153,Waaberi,234
R1720156,Xamar JaabJab,432
R1720157,Xamar Weyne,654
