district_id,period,total_beneficiaries
R1720070,April,6172
R1720078,April,4182
R1720124,April,5684
R1720138,April,4552
R1720076,April,5025
R1720092,April,2466
R1720117,April,7784
R1720091,April,2500
R1720107,April,19100
R1720079,April,3000
R1720111,April,2500
R1720139,April,3500
R1720096,April,5972
R1720141,April,3000
R1720131,April,1720
R1720137,April,2248
R1720074,April,8560
R1720101,April,3000
R1720080,April,7968
R1720102,April,5084
R1720108,April,2704
R1720123,April,7992
R1720071,April,7996
R1720118,April,16940
R1720095,April,7411
R1720099,April,2216
R1720094,April,2721
R1720120,April,2879
R1720140,April,1369
R1720129,April,4100
R1720077,April,1444
R1720083,April,2240
R1720093,April,1300
R1720112,April,6154
R1720127,April,1300
R1720087,April,1020
R1720109,April,4830
R1720104,April,2040
R1720121,April,110
R1720135,April,1928
R1720088,April,862
R1720070,May,4336
R1720078,May,4182
R1720124,May,5684
R1720138,May,4552
R1720076,May,4125
R1720092,May,2466
R1720117,May,7784
R1720091,May,2500
R1720107,May,19100
R1720079,May,3000
R1720111,May,2500
R1720139,May,3500
R1720096,May,5972
R1720141,May,3000
R1720131,May,1720
R1720137,May,2248
R1720074,May,8560
R1720101,May,3000
R1720080,May,7968
R1720102,May,5084
R1720108,May,2704
R1720123,May,7992
R1720071,May,7996
R1720118,May,16940
R1720095,May,7411
R1720099,May,2216
R1720094,May,2721
R1720120,May,2879
R1720140,May,1369
R1720129,May,4100
R1720077,May,1444
R1720083,May,2240
R1720093,May,1300
R1720112,May,6154
R1720127,May,1300
R1720087,May,1020
R1720109,May,4830
R1720104,May,2040
R1720121,May,110
R1720135,May,1928
R1720088,May,862
